,year,mon.day,date,river,bank,species,fish.count,comments,run_desc,run,maturity,proj.id,proj,count.type
43,2023,27-Jul,7/27/23,George River,Entire Channel,Chinook,30,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
44,2023,28-Jul,7/28/23,George River,Entire Channel,Chinook,7,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
45,2023,29-Jul,7/29/23,George River,Entire Channel,Chinook,18,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
46,2023,30-Jul,7/30/23,George River,Entire Channel,Chinook,25,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
47,2023,31-Jul,7/31/23,George River,Entire Channel,Chinook,17,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
48,2023,1-Aug,8/1/23,George River,Entire Channel,Chinook,22,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
49,2023,2-Aug,8/2/23,George River,Entire Channel,Chinook,15,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
50,2023,3-Aug,8/3/23,George River,Entire Channel,Chinook,7,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
51,2023,4-Aug,8/4/23,George River,Entire Channel,Chinook,4,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
52,2023,5-Aug,8/5/23,George River,Entire Channel,Chinook,2,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
53,2023,6-Aug,8/6/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
54,2023,7-Aug,8/7/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
55,2023,8-Aug,8/8/23,George River,Entire Channel,Chinook,9,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
56,2023,9-Aug,8/9/23,George River,Entire Channel,Chinook,7,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
57,2023,10-Aug,8/10/23,George River,Entire Channel,Chinook,5,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
58,2023,11-Aug,8/11/23,George River,Entire Channel,Chinook,5,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
59,2023,12-Aug,8/12/23,George River,Entire Channel,Chinook,3,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
60,2023,13-Aug,8/13/23,George River,Entire Channel,Chinook,1,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
61,2023,14-Aug,8/14/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
62,2023,15-Aug,8/15/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
63,2023,16-Aug,8/16/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
64,2023,17-Aug,8/17/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
65,2023,18-Aug,8/18/23,George River,Entire Channel,Chinook,1,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
66,2023,19-Aug,8/19/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
67,2023,20-Aug,8/20/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
68,2023,21-Aug,8/21/23,George River,Entire Channel,Chinook,2,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
69,2023,22-Aug,8/22/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
70,2023,23-Aug,8/23/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
71,2023,24-Aug,8/24/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
72,2023,25-Aug,8/25/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
73,2023,26-Aug,8/26/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
74,2023,27-Aug,8/27/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
75,2023,28-Aug,8/28/23,George River,Entire Channel,Chinook,1,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
